order_number,toothbrush_type,order_date,customer_age,order_quantity,delivery_postcode,billing_postcode,is_first,dispatch_status,dispatch_date,delivery_status,delivery_date
BRU00009035,Toothbrush 2000,2022-12-19 03:43:10.990973600,59,1,DN106HR,GU227BA,True,Order Confirmed,2022-12-19 04:40:48.954852800,,
BRU00008938,Toothbrush 2000,2022-12-19 06:08:10.741087200,76,3,CF145PA,GL14BY,True,Order Confirmed,2022-12-19 07:27:34.067497200,,
BRU00009038,Toothbrush 2000,2022-12-19 09:28:13.918996400,58,5,GY79PX,HU151EX,True,Order Received,,,
BRU00008646,Toothbrush 4000,2022-12-19 19:03:54.625272800,12,3,IP141TE,EH482EF,True,Order Confirmed,2022-12-19 20:12:05.576338400,,
BRU00009328,Toothbrush 2000,2022-12-19 09:19:08.734306000,78,9,BR39HA,CO154SA,True,Order Confirmed,2022-12-19 10:32:39.010030000,,
BRU00008726,Toothbrush 4000,2022-12-19 01:42:39.788351200,21,6,CF425SN,BH244AS,True,Order Confirmed,2022-12-19 02:46:45.108547600,,
BRU00008992,Toothbrush 2000,2022-12-19 06:08:52.825364400,68,7,BA32RQ,DH96FE,True,Order Confirmed,2022-12-19 07:11:03.944981999,,
BRU00008975,Toothbrush 4000,2022-12-18 21:25:42.870358000,30,3,BH204RZ,G537PX,True,Order Received,,,
BRU00008991,Toothbrush 2000,2022-12-19 01:56:51.354850000,87,2,BR33JR,CO169QH,True,Order Confirmed,2022-12-19 03:21:42.871235200,,
BRU00008638,Toothbrush 2000,2022-12-19 08:31:02.835403600,94,7,CW114HN,IG26QH,True,Order Received,,,
BRU00008669,Toothbrush 2000,2022-12-18 22:48:36.429236400,96,4,IP29AG,DE142AP,True,Order Received,,,
BRU00009016,Toothbrush 2000,2022-12-18 17:02:16.938809600,82,3,BL47TX,EN36XJ,True,Order Received,,,
BRU00008609,Toothbrush 2000,2022-12-18 18:48:08.191947600,91,7,CF834BA,BB46RB,True,Order Confirmed,2022-12-18 19:07:29.875706400,,
BRU00009187,Toothbrush 2000,2022-12-19 00:01:29.209889200,57,8,CF409BL,CM11NX,True,Order Received,,,
BRU00008976,Toothbrush 4000,2022-12-19 06:42:28.486551600,18,6,EH546GH,FK159FG,True,Order Confirmed,2022-12-19 07:57:21.246202800,,
BRU00009000,Toothbrush 2000,2022-12-18 16:55:20.626756400,75,2,DN60DY,BA133UA,True,Order Confirmed,2022-12-18 18:08:10.405248800,,
BRU00009290,Toothbrush 2000,2022-12-18 11:26:09.436965600,64,7,FY83RN,BL32AW,True,Order Received,,,
BRU00008704,Toothbrush 4000,2022-12-19 13:46:12.981820800,25,6,DA158ER,CV108PJ,True,Order Confirmed,2022-12-19 14:53:05.427175200,,
BRU00008727,Toothbrush 2000,2022-12-18 22:23:19.846058800,68,1,IP288RY,G38BX,True,Order Confirmed,2022-12-18 23:41:18.966323200,,
BRU00009302,Toothbrush 4000,2022-12-19 18:24:17.106114400,27,5,CH49DP,CV312DN,True,Order Received,,,
BRU00008931,Toothbrush 4000,2022-12-18 15:30:36.640591600,39,7,DL30LW,EX135RP,True,Order Received,,,
BRU00009335,Toothbrush 4000,2022-12-18 14:16:16.445099600,19,3,IM94LZ,EX166TU,True,Order Confirmed,2022-12-18 15:14:50.771558000,,
BRU00009168,Toothbrush 4000,2022-12-19 15:56:14.964992400,18,5,FK20YD,DE61HF,True,Order Confirmed,2022-12-19 16:59:51.779038800,,
BRU00009145,Toothbrush 2000,2022-12-19 04:53:06.984850800,69,6,EX204EN,CH439HR,True,Order Received,,,
BRU00008795,Toothbrush 2000,2022-12-18 20:14:35.754222400,66,5,CM72SS,HA87PT,True,Order Received,,,
BRU00009201,Toothbrush 2000,2022-12-18 20:48:00.897510800,77,6,FK125NT,B634HD,True,Order Confirmed,2022-12-18 22:05:35.645922799,,
BRU00009011,Toothbrush 4000,2022-12-18 16:57:54.501920400,27,2,GL522JX,FY82DJ,True,Order Received,,,
BRU00008690,Toothbrush 2000,2022-12-19 00:32:25.198660800,81,7,AL54HL,CW57JL,True,Order Confirmed,2022-12-19 01:33:24.716366400,,
BRU00008934,Toothbrush 4000,2022-12-19 14:32:35.470081199,21,5,DA40ES,BH243SD,True,Order Received,,,
BRU00008746,Toothbrush 4000,2022-12-19 15:29:11.563022800,40,3,BD220FN,EN80AH,True,Order Confirmed,2022-12-19 16:39:41.012204800,,
BRU00009247,Toothbrush 2000,2022-12-18 14:50:06.543068000,50,5,CW25TR,GL77JG,True,Order Received,,,
BRU00008631,Toothbrush 2000,2022-12-18 12:06:26.357228000,62,5,BH149JL,DE63GN,True,Order Confirmed,2022-12-18 13:15:01.315177999,,
BRU00009236,Toothbrush 4000,2022-12-19 18:38:08.754692800,34,6,BS217LR,BS79YS,True,Order Received,,,
BRU00008947,Toothbrush 4000,2022-12-19 01:29:06.554514000,37,6,FY37TP,GL28DR,True,Order Confirmed,2022-12-19 02:30:56.779123200,,
BRU00008658,Toothbrush 4000,2022-12-19 10:30:29.210420800,23,5,DE221BR,BD236PY,True,Order Received,,,
BRU00009092,Toothbrush 4000,2022-12-19 15:02:09.035680000,17,2,GY11SD,DE142BH,True,Order Confirmed,2022-12-19 15:43:52.018498000,,
BRU00008954,Toothbrush 2000,2022-12-19 06:58:29.820844400,73,4,IP209HW,CH627HZ,True,Order Confirmed,2022-12-19 07:59:47.156364800,,
BRU00009300,Toothbrush 4000,2022-12-19 13:58:21.574159200,26,2,GU153EB,CM145LD,True,Order Received,,,
BRU00008657,Toothbrush 2000,2022-12-19 07:55:38.504680000,74,1,CT46XP,DY83JT,True,Order Received,,,
BRU00008978,Toothbrush 2000,2022-12-18 20:41:43.179098000,75,4,BA45UY,CR51BR,True,Order Confirmed,2022-12-18 21:40:57.735758000,,
BRU00008617,Toothbrush 2000,2022-12-19 10:04:55.365365600,81,6,DN311XH,DH32HL,True,Order Received,,,
BRU00008577,Toothbrush 4000,2022-12-18 22:43:25.755856400,27,1,GU466FF,BN161FB,True,Order Received,,,
BRU00009227,Toothbrush 2000,2022-12-19 00:42:10.991380400,103,8,G758PN,CF819GJ,True,Order Received,,,
BRU00009054,Toothbrush 4000,2022-12-19 04:34:46.386624800,9,3,CO45FZ,EH221LP,True,Order Received,,,
BRU00008712,Toothbrush 2000,2022-12-19 03:45:27.791211600,79,6,BD227PW,CT99SR,True,Order Received,,,
BRU00008641,Toothbrush 4000,2022-12-19 07:43:05.272162000,21,2,IM96DF,BL64EH,True,Order Received,,,
BRU00009012,Toothbrush 4000,2022-12-19 05:52:25.371692000,17,3,EX356PS,B912NX,True,Order Received,,,
BRU00009233,Toothbrush 4000,2022-12-19 13:10:16.790649600,12,3,CF329QD,GU14XE,True,Order Received,,,
BRU00008873,Toothbrush 2000,2022-12-18 22:47:47.035512000,61,3,BS217XH,DY140LA,True,Order Confirmed,2022-12-19 00:13:58.400066400,,
BRU00008670,Toothbrush 2000,2022-12-19 10:34:21.283280400,78,6,HG29LB,HP169HU,True,Order Confirmed,2022-12-19 11:56:48.956694000,,
BRU00008708,Toothbrush 4000,2022-12-18 14:27:44.701430400,40,5,CH460QY,CM82YG,True,Order Confirmed,2022-12-18 15:30:50.436709200,,
BRU00009004,Toothbrush 4000,2022-12-19 17:49:00.222431999,30,8,CW98RB,CV378PP,True,Order Confirmed,2022-12-19 18:59:08.750786399,,
BRU00008733,Toothbrush 4000,2022-12-19 02:51:40.097765600,39,8,DT93JT,HP92AB,True,Order Confirmed,2022-12-19 03:49:09.340907600,,
BRU00008832,Toothbrush 4000,2022-12-19 05:56:38.268085600,29,4,GU170AF,B128AW,True,Order Confirmed,2022-12-19 07:12:57.665171200,,
BRU00009015,Toothbrush 2000,2022-12-18 15:13:59.013680800,69,1,BS42TL,CV227UA,True,Order Received,,,
BRU00009113,Toothbrush 4000,2022-12-19 05:25:41.255976000,22,2,DA79JB,GL22DX,True,Order Confirmed,2022-12-19 06:03:28.501552800,,
BRU00009108,Toothbrush 4000,2022-12-19 05:20:36.632882800,24,8,DA13EE,DE44HE,True,Order Received,,,
BRU00009006,Toothbrush 2000,2022-12-18 15:34:31.877987600,51,3,FY29BT,GL43TP,True,Order Confirmed,2022-12-18 16:44:27.382017200,,
BRU00008765,Toothbrush 4000,2022-12-19 05:55:49.079500000,34,9,BH64AE,EH75UD,True,Order Confirmed,2022-12-19 06:47:28.296380800,,
BRU00009208,Toothbrush 2000,2022-12-19 06:17:33.518381200,78,4,CF355DE,AB251GA,True,Order Received,,,
BRU00009195,Toothbrush 2000,2022-12-18 15:31:58.660575200,59,2,BH317PJ,B677QA,True,Order Confirmed,2022-12-18 16:50:38.801298800,,
BRU00008757,Toothbrush 2000,2022-12-18 19:58:22.980702000,89,7,BA112LX,GU341AS,True,Order Received,,,
BRU00008650,Toothbrush 4000,2022-12-18 18:17:03.075188800,25,2,BN246AB,BB25AZ,True,Order Received,,,
BRU00008967,Toothbrush 4000,2022-12-18 14:24:30.835897200,32,2,EX395RN,CT79RX,True,Order Confirmed,2022-12-18 15:17:04.524770400,,
BRU00008745,Toothbrush 4000,2022-12-19 02:22:07.281232400,23,2,DL167PQ,BD135JP,True,Order Confirmed,2022-12-19 03:20:09.672256400,,
BRU00009224,Toothbrush 4000,2022-12-19 09:21:31.163945200,28,4,AL74EL,BN176NB,True,Order Confirmed,2022-12-19 10:41:06.623183200,,
BRU00009280,Toothbrush 4000,2022-12-18 19:56:03.707646000,35,2,CA103LD,DE110FD,True,Order Received,,,
BRU00008719,Toothbrush 4000,2022-12-19 04:29:13.055859600,34,1,EX202HP,B95SJ,True,Order Confirmed,2022-12-19 05:18:46.876633200,,
BRU00009165,Toothbrush 2000,2022-12-18 19:07:48.469044800,93,5,EH478DL,CV219TF,True,Order Received,,,
BRU00009179,Toothbrush 4000,2022-12-19 03:06:35.059675200,21,8,GU170BD,BD40JB,True,Order Confirmed,2022-12-19 03:46:42.163495200,,
BRU00009310,Toothbrush 4000,2022-12-19 13:44:14.787800400,28,6,EX387DD,CM992FX,True,Order Confirmed,2022-12-19 14:57:53.295097200,,
BRU00008615,Toothbrush 4000,2022-12-19 07:48:16.124777600,26,8,BL32AH,DE238GA,True,Order Received,,,
BRU00009191,Toothbrush 2000,2022-12-18 13:12:00.595937200,77,7,BD184JU,DY40XE,True,Order Received,,,
BRU00009100,Toothbrush 4000,2022-12-19 09:42:37.286013200,24,7,B504BE,BD58LJ,True,Order Received,,,
BRU00008666,Toothbrush 4000,2022-12-19 06:43:50.399397600,23,7,CA70EA,HU89HR,True,Order Received,,,
BRU00008760,Toothbrush 4000,2022-12-19 18:14:55.975363200,19,3,BB52PT,EH166AD,True,Order Received,,,
BRU00009176,Toothbrush 2000,2022-12-18 13:07:25.294792000,77,2,BB12EJ,HP92XR,True,Order Confirmed,2022-12-18 14:18:02.703721600,,
BRU00008606,Toothbrush 4000,2022-12-19 06:55:45.419492800,34,2,E26JN,BN149DN,True,Order Received,,,
BRU00009026,Toothbrush 2000,2022-12-18 18:48:34.104983600,70,7,AB326SG,GL208DG,True,Order Confirmed,2022-12-18 19:53:45.635562800,,
BRU00009010,Toothbrush 2000,2022-12-19 07:23:07.756264800,85,7,BB74DU,BB24FQ,True,Order Received,,,
BRU00008923,Toothbrush 4000,2022-12-18 20:38:34.309243600,21,4,AL48PB,GU254EE,True,Order Confirmed,2022-12-18 21:34:30.842744800,,
BRU00008776,Toothbrush 2000,2022-12-19 06:04:21.890319600,80,7,EX79BT,G744PP,True,Order Received,,,
BRU00009072,Toothbrush 4000,2022-12-19 10:01:08.649938400,38,7,BN212SH,IM47PH,True,Order Confirmed,2022-12-19 11:03:48.382644000,,
BRU00009164,Toothbrush 2000,2022-12-18 11:21:00.820635200,60,9,CB227TW,GU13XZ,True,Order Received,,,
BRU00009205,Toothbrush 2000,2022-12-19 08:30:58.254871200,52,4,CM210BB,DN74AQ,True,Order Received,,,
BRU00009083,Toothbrush 4000,2022-12-19 22:55:09.879531200,18,1,DY68EL,BL23FY,True,Order Received,,,
BRU00009027,Toothbrush 4000,2022-12-19 10:07:31.807879200,31,3,EH481QG,BD177LS,True,Order Confirmed,2022-12-19 11:24:46.443285600,,
BRU00009318,Toothbrush 4000,2022-12-18 12:26:50.331726800,12,5,DE43DP,CA75DS,True,Order Confirmed,2022-12-18 13:14:31.231653200,,
BRU00008653,Toothbrush 4000,2022-12-19 06:28:09.269848000,22,3,BN26BB,BL84EL,True,Order Confirmed,2022-12-19 07:11:53.207136400,,
BRU00008629,Toothbrush 4000,2022-12-19 07:03:38.436024400,37,3,E29LY,B938QG,True,Order Confirmed,2022-12-19 08:00:28.873142800,,
BRU00008861,Toothbrush 4000,2022-12-19 06:57:50.401776400,44,2,HA62XF,DE243AJ,True,Order Confirmed,2022-12-19 08:15:16.344674800,,
BRU00009159,Toothbrush 4000,2022-12-19 12:53:47.711905200,10,9,CT147NP,DY149TE,True,Order Received,,,
BRU00009209,Toothbrush 2000,2022-12-18 22:17:51.755703200,68,5,DD81XG,CW27UA,True,Order Received,,,
BRU00009229,Toothbrush 2000,2022-12-18 17:26:20.036419600,72,6,AL96HH,DG13AD,True,Order Confirmed,2022-12-18 18:39:29.070937600,,
BRU00009248,Toothbrush 2000,2022-12-19 08:54:11.109764800,75,4,E179BN,DN163UP,True,Order Confirmed,2022-12-19 10:16:30.916804000,,
BRU00008754,Toothbrush 2000,2022-12-18 12:37:12.458412800,72,4,DE150JW,B12AF,True,Order Confirmed,2022-12-18 13:54:45.866562800,,
BRU00008856,Toothbrush 2000,2022-12-19 01:40:47.688948800,68,2,EX30NY,DY117EE,True,Order Received,,,
BRU00009071,Toothbrush 2000,2022-12-19 01:22:09.699523200,77,1,DN33DQ,HA54RY,True,Order Received,,,
BRU00009295,Toothbrush 2000,2022-12-18 22:11:54.319232400,69,1,DL22BZ,DE126RB,True,Order Received,,,
BRU00008627,Toothbrush 2000,2022-12-19 00:42:51.593191600,61,3,B458LH,CV93SS,True,Order Received,,,
BRU00009303,Toothbrush 4000,2022-12-18 19:23:46.236615200,32,5,B664EL,IG12JW,True,Order Confirmed,2022-12-18 20:49:55.363892000,,
BRU00009309,Toothbrush 2000,2022-12-18 11:01:26.893492800,57,5,EH216SY,CH89ST,True,Order Received,,,
BRU00008789,Toothbrush 2000,2022-12-18 12:29:13.084441200,75,7,CV358QX,GL43SJ,True,Order Received,,,
BRU00009228,Toothbrush 4000,2022-12-19 08:58:57.828656000,20,7,HX14HL,CM59JR,True,Order Received,,,
BRU00008616,Toothbrush 2000,2022-12-18 21:03:58.907934000,81,9,AL36ZN,FY14AU,True,Order Received,,,
BRU00009197,Toothbrush 4000,2022-12-19 19:11:10.503992800,15,5,BL33PW,GU254QF,True,Order Confirmed,2022-12-19 20:14:43.448798800,,
BRU00008943,Toothbrush 4000,2022-12-19 07:32:44.249441200,25,2,EN52PG,EN52PG,True,Order Confirmed,2022-12-19 08:47:27.784427200,,
BRU00009286,Toothbrush 4000,2022-12-19 18:07:05.646224400,16,2,B435HB,B435HB,True,Order Confirmed,2022-12-19 19:14:33.289218000,,
BRU00008897,Toothbrush 4000,2022-12-19 09:57:48.302120400,26,5,HX13QJ,HX13QJ,True,Order Confirmed,2022-12-19 11:21:10.831329600,,
BRU00009246,Toothbrush 4000,2022-12-19 06:21:58.980067200,42,5,DA184BD,DA184BD,True,Order Received,,,
BRU00008979,Toothbrush 2000,2022-12-18 22:48:48.319100000,69,1,B938BP,B938BP,True,Order Received,,,
BRU00009278,Toothbrush 2000,2022-12-18 18:22:27.805699600,80,4,CW124QF,CW124QF,True,Order Received,,,
BRU00009293,Toothbrush 4000,2022-12-19 04:11:24.753386400,34,9,B219NH,B219NH,True,Order Received,,,
BRU00008909,Toothbrush 2000,2022-12-18 10:52:59.487058400,71,8,CF314NP,CF314NP,True,Order Received,,,
BRU00009005,Toothbrush 4000,2022-12-18 23:16:59.338591200,31,5,GL46QL,GL46QL,True,Order Confirmed,2022-12-19 00:36:36.929241600,,
BRU00008780,Toothbrush 2000,2022-12-18 13:20:50.347277600,69,4,BS284SA,BS284SA,True,Order Confirmed,2022-12-18 14:25:23.680262000,,
BRU00008575,Toothbrush 4000,2022-12-19 18:24:50.523398400,24,1,BD208DZ,BD208DZ,True,Order Received,,,
BRU00008683,Toothbrush 2000,2022-12-19 11:14:18.669684800,98,1,AB301ES,AB301ES,True,Order Received,,,
BRU00009133,Toothbrush 4000,2022-12-19 15:52:13.776760400,24,2,DT63JP,DT63JP,True,Order Confirmed,2022-12-19 17:03:10.731738800,,
BRU00008848,Toothbrush 4000,2022-12-19 05:00:39.982353200,17,6,CA110PH,CA110PH,True,Order Confirmed,2022-12-19 06:05:03.184476800,,
BRU00008809,Toothbrush 2000,2022-12-19 06:06:19.593664400,73,1,DA75QY,DA75QY,True,Order Received,,,
BRU00008988,Toothbrush 2000,2022-12-18 20:38:34.740110000,76,1,EH42SB,EH42SB,True,Order Received,,,
BRU00009279,Toothbrush 4000,2022-12-19 09:02:15.901569600,36,2,DH63RD,DH63RD,True,Order Received,,,
BRU00008769,Toothbrush 2000,2022-12-19 06:56:31.609751200,66,1,CT45EA,CT45EA,True,Order Confirmed,2022-12-19 07:44:58.588993600,,
BRU00008920,Toothbrush 2000,2022-12-18 10:55:10.540844800,100,8,BS57BB,BS57BB,True,Order Received,,,
BRU00008906,Toothbrush 4000,2022-12-19 04:30:30.040840000,31,7,HP70NZ,HP70NZ,True,Order Received,,,
BRU00009273,Toothbrush 4000,2022-12-19 10:24:47.530974800,31,6,DL167DT,DL167DT,True,Order Received,,,
BRU00008731,Toothbrush 2000,2022-12-19 03:30:03.658220400,70,5,HP108HE,HP108HE,True,Order Received,,,
BRU00008821,Toothbrush 2000,2022-12-18 22:13:51.176320400,56,5,CB97JA,CB97JA,True,Order Confirmed,2022-12-18 23:35:18.492681200,,
BRU00008982,Toothbrush 2000,2022-12-19 10:27:33.127075600,84,1,BD108BW,BD108BW,True,Order Received,,,
BRU00008598,Toothbrush 2000,2022-12-18 21:14:27.117229200,81,9,BA114NE,BA114NE,True,Order Confirmed,2022-12-18 22:37:42.477974400,,
BRU00008887,Toothbrush 4000,2022-12-18 20:57:02.612797200,22,2,CT170BE,CT170BE,True,Order Received,,,
BRU00008597,Toothbrush 4000,2022-12-19 08:15:24.825806400,24,2,G733QQ,G733QQ,True,Order Confirmed,2022-12-19 09:13:05.783942400,,
BRU00009106,Toothbrush 2000,2022-12-18 20:14:19.758116400,78,8,CT110NA,CT110NA,True,Order Confirmed,2022-12-18 21:37:47.835930000,,
BRU00009183,Toothbrush 2000,2022-12-18 13:40:05.758665200,67,5,DL178JH,DL178JH,True,Order Confirmed,2022-12-18 14:44:24.929217200,,
BRU00008651,Toothbrush 4000,2022-12-19 22:06:30.432163600,27,4,BA27BH,BA27BH,True,Order Received,,,
BRU00008791,Toothbrush 2000,2022-12-18 21:27:45.733142400,74,8,DN121LR,DN121LR,True,Order Received,,,
BRU00009203,Toothbrush 2000,2022-12-19 02:46:50.252632000,85,8,BN15LP,BN15LP,True,Order Received,,,
BRU00008716,Toothbrush 4000,2022-12-19 02:34:31.631783600,28,3,CO100YT,CO100YT,True,Order Received,,,
BRU00009257,Toothbrush 4000,2022-12-19 07:48:02.316041200,24,4,AB422AN,AB422AN,True,Order Received,,,
BRU00008860,Toothbrush 2000,2022-12-19 08:30:13.156318800,67,9,IP221PX,IP221PX,True,Order Confirmed,2022-12-19 09:44:03.419545200,,
BRU00009331,Toothbrush 2000,2022-12-18 10:43:00.432108400,82,2,CV379ST,CV379ST,True,Order Received,,,
BRU00008898,Toothbrush 4000,2022-12-19 05:13:42.667314000,9,1,BB48DR,BB48DR,True,Order Confirmed,2022-12-19 06:18:59.537222400,,
BRU00009289,Toothbrush 2000,2022-12-18 11:47:48.740602000,71,2,HP180RG,HP180RG,True,Order Received,,,
BRU00009073,Toothbrush 2000,2022-12-19 06:23:13.031421200,85,9,CH36DB,CH36DB,True,Order Confirmed,2022-12-19 07:52:15.686286800,,
BRU00008591,Toothbrush 4000,2022-12-19 16:17:47.856884000,46,4,CO154SS,CO154SS,True,Order Confirmed,2022-12-19 16:53:34.078708399,,
BRU00008928,Toothbrush 2000,2022-12-18 17:50:57.570156800,83,5,B774QY,B774QY,True,Order Received,,,
BRU00009140,Toothbrush 4000,2022-12-19 12:54:05.067651999,29,4,BN113BP,BN113BP,True,Order Confirmed,2022-12-19 13:40:20.139434799,,
BRU00008688,Toothbrush 2000,2022-12-18 16:31:56.070192000,82,3,EH268BG,EH268BG,True,Order Received,,,
BRU00008845,Toothbrush 4000,2022-12-18 20:27:37.834488000,20,8,FK20NZ,FK20NZ,True,Order Confirmed,2022-12-18 21:23:26.547990000,,
BRU00008995,Toothbrush 2000,2022-12-18 18:52:56.794386000,79,2,CF102AQ,CF102AQ,True,Order Confirmed,2022-12-18 20:06:19.721617200,,
BRU00009058,Toothbrush 2000,2022-12-18 15:26:20.646033200,68,2,EN89PL,EN89PL,True,Order Received,,,
BRU00008981,Toothbrush 4000,2022-12-19 07:35:28.407026400,17,3,G427LD,G427LD,True,Order Confirmed,2022-12-19 08:52:30.753285600,,
BRU00008889,Toothbrush 4000,2022-12-19 17:03:01.829042800,33,7,DY121AA,DY121AA,True,Order Received,,,
BRU00008973,Toothbrush 2000,2022-12-19 01:14:22.071453200,52,5,GU148BG,GU148BG,True,Order Received,,,
BRU00008844,Toothbrush 4000,2022-12-19 11:13:17.971914800,38,3,CV211FB,CV211FB,True,Order Received,,,
BRU00009242,Toothbrush 2000,2022-12-18 11:26:40.383734800,73,4,G444QQ,G444QQ,True,Order Received,,,
BRU00009063,Toothbrush 2000,2022-12-18 21:47:57.366938400,57,9,HP123BT,HP123BT,True,Order Received,,,
BRU00009288,Toothbrush 2000,2022-12-18 16:19:15.969418400,70,7,HD76EX,HD76EX,True,Order Confirmed,2022-12-18 17:40:22.858518800,,
BRU00009296,Toothbrush 4000,2022-12-19 01:55:04.423182800,29,6,GU148TW,GU148TW,True,Order Confirmed,2022-12-19 02:49:03.396441200,,
BRU00009121,Toothbrush 4000,2022-12-18 21:13:34.981472400,24,5,BS167NT,BS167NT,True,Order Received,,,
BRU00008635,Toothbrush 2000,2022-12-18 18:06:41.740646000,65,2,CF55AH,CF55AH,True,Order Confirmed,2022-12-18 19:11:46.304901200,,
BRU00008768,Toothbrush 4000,2022-12-19 04:34:46.663660800,30,6,B755JA,B755JA,True,Order Received,,,
BRU00008847,Toothbrush 4000,2022-12-19 11:39:08.278219200,14,5,DN331AX,DN331AX,True,Order Confirmed,2022-12-19 12:44:19.082397600,,
BRU00008908,Toothbrush 2000,2022-12-19 04:28:50.471796000,88,1,BN200EL,BN200EL,True,Order Confirmed,2022-12-19 05:24:40.523536800,,
BRU00009128,Toothbrush 2000,2022-12-19 03:16:34.799008800,72,7,AL38PL,AL38PL,True,Order Confirmed,2022-12-19 04:07:21.994503600,,
BRU00009219,Toothbrush 4000,2022-12-18 21:25:20.504976800,37,2,BD163NE,BD163NE,True,Order Confirmed,2022-12-18 22:12:46.444682000,,
BRU00009137,Toothbrush 4000,2022-12-19 04:29:17.479062000,22,4,BN108EW,BN108EW,True,Order Confirmed,2022-12-19 05:27:07.618274400,,
BRU00008942,Toothbrush 4000,2022-12-19 06:01:41.458401200,26,3,CW100SS,CW100SS,True,Order Confirmed,2022-12-19 07:16:14.908268000,,
BRU00008828,Toothbrush 4000,2022-12-18 12:15:46.697188000,29,2,GU67DZ,GU67DZ,True,Order Confirmed,2022-12-18 13:13:30.915563200,,
BRU00008998,Toothbrush 4000,2022-12-18 21:18:17.165304400,40,2,IM95PE,IM95PE,True,Order Confirmed,2022-12-18 22:23:41.967899200,,
BRU00008739,Toothbrush 2000,2022-12-18 21:21:40.723484800,72,4,CO91JQ,CO91JQ,True,Order Confirmed,2022-12-18 22:32:28.515808000,,
